moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
BRL,SGD,0.236265,0.236846,2025-04-01 16:36:04,2025-04-01 21:24:28
SGD,BRL,4.22216,4.23253,2025-04-01 16:36:04,2025-04-01 21:24:28
AED,BRL,1.54442,1.54557,2025-04-01 16:36:37,2025-04-01 21:24:28
BRL,AED,0.647011,0.647492,2025-04-01 16:36:37,2025-04-01 21:24:28
BRL,BBD,0.347486,0.363605,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,BHD,0.0659165,0.0667317,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,CNY,1.27722,1.27754,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,CZK,4.06259,4.06572,2025-04-01 16:37:07,2025-04-01 21:24:28
BRL,EGP,8.90114,8.907,2025-04-01 16:33:08,2025-04-01 21:24:28
BRL,GBP,0.136,0.1364,2025-04-01 16:36:14,2025-04-01 21:24:28
BRL,HUF,65.3908,65.5163,2025-04-01 16:36:54,2025-04-01 21:24:28
BRL,IDR,2943.32,2943.65,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,ILS,0.649543,0.651454,2025-04-01 16:36:14,2025-04-01 21:24:28
BRL,INR,15.0674,15.0734,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,ISK,23.3759,23.4692,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,JMD,27.423,27.9955,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,JOD,0.124379,0.125194,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,KES,22.2958,22.7686,2025-04-01 11:19:06,2025-04-01 21:24:28
BRL,KRW,258.856,259.345,2025-04-01 16:32:28,2025-04-01 21:24:28
BRL,LBP,15204.0,15202.5,2025-03-05 15:39:02,2025-04-01 21:24:28
BRL,LKR,51.6055,52.6186,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,MAD,1.64252,1.75251,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,MYR,0.780782,0.78125,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,NAD,3.12536,3.12505,2025-03-05 15:39:02,2025-04-01 21:24:28
BRL,NOK,1.84102,1.84162,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,NPR,23.8652,24.4068,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,NZD,0.3086,0.309,2025-04-01 16:36:50,2025-04-01 21:24:28
BRL,OMR,0.0675352,0.0679886,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PAB,0.172055,0.180115,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PHP,10.0768,10.0795,2025-04-01 16:36:44,2025-04-01 21:24:28
BRL,PKR,49.0876,49.5834,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,PLN,0.67465,0.67538,2025-03-19 01:51:12,2025-04-01 21:24:28
BRL,QAR,0.617874,0.666456,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,RON,0.811001,0.812333,2025-04-01 16:36:27,2025-04-01 21:24:28
BRL,RUB,14.854,14.8905,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,SAR,0.659602,0.660883,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,SEK,1.75788,1.7622,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,THB,6.01894,6.02245,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,TRY,6.65519,6.67477,2025-04-01 16:36:14,2025-04-01 21:24:28
BRL,VEF,10.9478,10.949,2025-02-28 21:59:03,2025-04-01 21:24:28
BRL,XAF,105.632,105.669,2025-03-19 01:51:29,2025-04-01 21:24:28
BRL,XCD,0.473258,0.478058,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,XOF,106.939,106.996,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,ZAR,3.23915,3.24711,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,TWD,5.84988,5.85207,2025-04-01 16:36:45,2025-04-01 21:24:28
DKK,BRL,0.82229,0.822664,2025-04-01 16:36:58,2025-04-01 21:24:28
HKD,BRL,0.729345,0.731137,2025-04-01 16:36:04,2025-04-01 21:24:28
MXN,BRL,0.278697,0.279381,2025-04-01 16:36:04,2025-04-01 21:24:28
NOK,BRL,0.542981,0.543159,2025-04-01 16:36:45,2025-04-01 21:24:28
NZD,BRL,3.23259,3.2421,2025-04-01 16:36:14,2025-04-01 21:24:28
PLN,BRL,1.48065,1.48225,2025-03-19 01:51:12,2025-04-01 21:24:28
SAR,BRL,1.51305,1.51599,2025-04-01 16:36:45,2025-04-01 21:24:28
SEK,BRL,0.567473,0.568867,2025-04-01 16:36:04,2025-04-01 21:24:28
THB,BRL,0.166103,0.16619,2025-04-01 16:36:56,2025-04-01 21:24:28
TRY,BRL,0.149818,0.150259,2025-04-01 16:36:14,2025-04-01 21:24:28
TWD,BRL,0.170871,0.170935,2025-04-01 16:36:45,2025-04-01 21:24:28
VEF,BRL,0.0913,0.0914,2025-02-28 21:59:14,2025-04-01 21:24:28
ZAR,BRL,0.307966,0.308723,2025-04-01 16:36:04,2025-04-01 21:24:28
BRL,PYG,1385.16,1426.82,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,UYU,7.25854,7.44851,2025-04-01 11:19:06,2025-04-01 21:24:28
BRL,COP,733.43,733.83,2025-04-01 16:36:55,2025-04-01 21:24:28
BRL,PEN,0.6461,0.6467,2025-04-01 16:36:45,2025-04-01 21:24:28
BRL,BOB,1.17375,1.23496,2025-03-31 11:19:03,2025-04-01 21:24:28
CLP,BRL,0.00595455,0.00600745,2025-04-01 16:33:31,2025-04-01 21:24:28
PYG,BRL,0.00070763,0.00072892,2025-04-01 11:19:05,2025-04-01 21:24:28
UYU,BRL,0.134255,0.137769,2025-04-01 11:19:05,2025-04-01 21:24:28
COP,BRL,0.00135662,0.00135995,2025-04-01 16:36:04,2025-04-01 21:24:28
PEN,BRL,1.5441,1.54789,2025-04-01 16:36:04,2025-04-01 21:24:28
BOB,BRL,0.808266,0.85234,2025-04-01 11:19:04,2025-04-01 21:24:28
RUB,BRL,0.0671568,0.0673218,2025-04-01 16:36:04,2025-04-01 21:24:28
INR,BRL,0.0663421,0.0663686,2025-04-01 16:36:45,2025-04-01 21:24:28
EUR,GBP,0.83565,0.83575,2025-04-01 16:37:10,2025-04-01 21:24:28
EUR,JPY,161.405,161.42,2025-04-01 16:37:08,2025-04-01 21:24:28
EUR,CHF,0.95322,0.95326,2025-04-01 16:37:10,2025-04-01 21:24:28
EUR,AUD,1.72137,1.72155,2025-04-01 16:36:54,2025-04-01 21:24:28
EUR,CAD,1.54699,1.54717,2025-04-01 16:37:12,2025-04-01 21:24:28
EUR,NOK,11.2944,11.2978,2025-04-01 16:36:54,2025-04-01 21:24:28
EUR,DKK,7.4611,7.46205,2025-04-01 16:37:12,2025-04-01 21:24:28
EUR,PLN,4.18241,4.18386,2025-04-01 16:36:31,2025-04-01 21:24:28
EUR,NZD,1.89509,1.89519,2025-04-01 16:36:43,2025-04-01 21:24:28
EUR,SEK,10.7965,10.8,2025-04-01 16:36:36,2025-04-01 21:24:28
EUR,ILS,3.9925,3.9971,2025-04-01 15:00:43,2025-04-01 21:24:28
EUR,TRY,40.867,40.9108,2025-04-01 16:36:50,2025-04-01 21:24:28
EUR,THB,36.892,36.962,2025-04-01 16:31:35,2025-04-01 21:24:28
